indexNCT04502056重复_由于各措施对应结局,nctid,outcome_description,participate_group_num,outcome_group_num,group_info,outcome,standard_outcome,standard_outcome_id,outcome_id,"checker (Manually add results if checker is empty,Manually filter if the number of checkers is greater than or equal to 2)",Time_Frame
354,NCT04491240,C-reactive Protein,NA,NA,NA,C-reactive Protein ,CRP,indicator_1,outcome_344,['C-reactive Protein'],Time Frame: 14 days 
355,NCT04491240,C-reactive Protein,NA,NA,NA,C-reactive Protein ,CRP,indicator_1,outcome_345,['C-reactive Protein'],Time Frame: 14 days 
356,NCT04491240,Lactic Acid Dehydrogenase (LDH),O1:10|O2:10|O3:10,O1:773|O2:732|O3:669|O1:441|O2:365|O3:430,EXO-1|EXO-2|Placebo,Lactic Acid Dehydrogenase (LDH) ,LDH,indicator_89,outcome_346,"['LDH', 'Lactic Acid Dehydrogenase (LDH)']",Time Frame: First dose date up to last dose date (maximum: 10 days) plus 30 days 
357,NCT04491240,Lactic Acid Dehydrogenase (LDH),NA,NA,NA,Lactic Acid Dehydrogenase (LDH) ,LDH,indicator_89,outcome_347,"['LDH', 'Lactic Acid Dehydrogenase (LDH)']",Time Frame: First dose date up to last dose date (maximum: 10 days) plus 30 days 
358,NCT04491240,Lactic Acid Dehydrogenase (LDH),NA,NA,NA,Lactic Acid Dehydrogenase (LDH) ,LDH,indicator_89,outcome_348,"['LDH', 'Lactic Acid Dehydrogenase (LDH)']",Time Frame: First dose date up to last dose date (maximum: 10 days) plus 30 days 
359,NCT04335552,World Health Organization (WHO) Ordinal Scale Measured at 14 Days After Enrollment,O1:1|O2:4|O3:3|O4:2,O1:1|O2:2.5|O3:5.3|O4:4.5,Standard of Care|Standard of Care Plus Hydroxychloroquine|Standard of Care Plus Azithromycin|Standard of Care Plus Hydroxychloroquine Plus Azithromycin,Ordinal Scale,Ordinal Scale,indicator_79,outcome_349,"['Ordinal Scale', 'ordinal scale']",NA
360,NCT04335552,Number of Participants Who Died During the Index Hospitalization,O1:1|O2:4|O3:3|O4:2,O1:0|O2:1|O3:2|O4:1,Standard of Care|Standard of Care Plus Hydroxychloroquine|Standard of Care Plus Azithromycin|Standard of Care Plus Hydroxychloroquine Plus Azithromycin,Died,Death ,indicator_16,outcome_350,"['Hospitalization', 'hospitalization', 'Hospital']",NA
361,NCT04335552,Number of Days on Mechanical Ventilation,O1:1|O2:4|O3:3|O4:2,O1:0|O2:5.5|O3:8.67|O4:0,Standard of Care|Standard of Care Plus Hydroxychloroquine|Standard of Care Plus Azithromycin|Standard of Care Plus Hydroxychloroquine Plus Azithromycin,Mechanical Ventilation,Mechanical Ventilation,indicator_9,outcome_351,"['mechanical Ventilation', 'Mechanical Ventilation']",NA
362,NCT04335552,Number of Patients Not Receiving Mechanical Ventilation at Baseline Who Progress to Requiring Mechanical Ventilation During the Index Hospitalization,O1:1|O2:4|O3:3|O4:2,O1:0|O2:1|O3:1|O4:0,Standard of Care|Standard of Care Plus Hydroxychloroquine|Standard of Care Plus Azithromycin|Standard of Care Plus Hydroxychloroquine Plus Azithromycin,Mechanical Ventilation,Mechanical Ventilation,indicator_9,outcome_352,"['Hospitalization', 'mechanical Ventilation', 'Mechanical Ventilation', 'hospitalization', 'Hospital']",NA
363,NCT04335552,WHO Ordinal Scale Measured at 28 Days After Enrollment,O1:1|O2:4|O3:3|O4:2,O1:1|O2:2.8|O3:5.3|O4:4.5,Standard of Care|Standard of Care Plus Hydroxychloroquine|Standard of Care Plus Azithromycin|Standard of Care Plus Hydroxychloroquine Plus Azithromycin,Ordinal Scale,Ordinal Scale,indicator_79,outcome_353,"['Ordinal Scale', 'ordinal scale']",NA
364,NCT04335552,Hospital Length of Stay in Days for the Index Hospitalization,O1:1|O2:4|O3:3|O4:2,O1:6|O2:9|O3:14.7|O4:2.5,Standard of Care|Standard of Care Plus Hydroxychloroquine|Standard of Care Plus Azithromycin|Standard of Care Plus Hydroxychloroquine Plus Azithromycin,Hospitalization,Hospitalization,indicator_18,outcome_354,"['Length of Stay', 'Hospitalization', 'hospitalization', 'Hospital']",NA
365,NCT04335552,Number of Participants With All-cause Study Medication Discontinuation,O1:1|O2:4|O3:3|O4:2,O1:0|O2:0|O3:0|O4:0,Standard of Care|Standard of Care Plus Hydroxychloroquine|Standard of Care Plus Azithromycin|Standard of Care Plus Hydroxychloroquine Plus Azithromycin,Number,Number,indicator_139,outcome_355,[],NA
366,NCT04335552,Number of Participants With Severe Adverse Events,O1:1|O2:4|O3:3|O4:2,O1:0|O2:1|O3:1|O4:0,Standard of Care|Standard of Care Plus Hydroxychloroquine|Standard of Care Plus Azithromycin|Standard of Care Plus Hydroxychloroquine Plus Azithromycin,Adverse,Adverse,indicator_10,outcome_356,"['Adverse Events', 'Adverse', 'Adverse Event']",NA
367,NCT04898166,Androgenetic Alopecia Frequency in Participants.,O1:220|O2:80,O1:209|O2:37|O1:11|O2:43,220 Hospitalized Participants Diagnosed Case of COVID-19.|80 Hospitalized Female Participants Diagnosed Case of Hospitalized COVID-19,Androgenetic Alopecia,Androgenetic Alopecia,indicator_140,outcome_357,[],NA
368,NCT04898166,Severity of Androgenetic Alopecia in Patients,O1:220|O2:37,O1:43|O2:9|O1:177|O2:28,220 Hospitalised Male Participants Diagnosed Case of COVID-19.|80 Hospitalized Female Participants Diagnosed Case of Hospitalized COVID-19.,Androgenetic Alopecia,Androgenetic Alopecia,indicator_140,outcome_358,[],NA
369,NCT04898166,300 Participants Mean Age,O1:300,O1:53.06,300 Participants Diagnosed Case of Hospitalized COVID-19. Mean Age be Noted,Age,Age,indicator_141,outcome_359,[],NA
370,NCT04898166,Disease Outcome as Assessed by Number of Participants Experiencing Better or Worst Outcome With Respect to Age Group.,O1:220|O2:80,O1:15|O2:10|O1:13|O2:18|O1:13|O2:0|O1:15|O2:4|O1:37|O2:12|O1:20|O2:0|O1:4|O2:11|O1:16|O2:15|O1:10|O2:0|O1:7|O2:4|O1:33|O2:6|O1:37|O2:0,220 Hospitalised Male Participants Diagnosed Case of COVID-19.|80 Hospitalized Female Participants Diagnosed Case of Hospitalized COVID-19.,Androgenetic Alopecia,Androgenetic Alopecia,indicator_140,outcome_360,[],NA
371,NCT04898166,Disease Outcome as Assessed by Severity of Androgeneic Alopecia in Males,O1:220,O1:20|O1:52|O1:14|O1:27|O1:5|O1:25|O1:4|O1:73,220 Hospitalised Male Subjects. Their Disease Outcomes in Relation to Severity of AGA,Androgenetic Alopecia,Androgenetic Alopecia,indicator_140,outcome_361,[],NA
372,NCT04898166,Disease Outcome be Assessed by Severity of Androgenetic Alopecia in Females,O1:80,O1:9|O1:3|O1:4|O1:17|O1:3|O1:8|O1:14|O1:3|O1:9|O1:3|O1:0|O1:7,80 Hospitalised Female Participants. Their Disease Outcomes in Relation to Severity of AGA,Androgenetic Alopecia,Androgenetic Alopecia,indicator_140,outcome_362,[],NA
373,NCT04898166,Covid-19 Disease Outcomes Correlating With Severity of Androgenetic Alopecia and Age in Females.,O1:37|O2:43,O1:0|O2:4|O1:7|O2:5|O1:00|O2:00|O1:3|O2:7|O1:8|O2:10|O1:00|O2:00|O1:6|O2:5|O1:6|O2:9|O1:00|O2:00|O1:3|O2:1|O1:4|O2:2|O1:00|O2:00,37 Hospitalised Female Participants of COVID-19 With Androgenetic Alopecia|43 Hospitalised Female Participants of COVID-19 Without Androgenetic Alopecia With Respect to Age,Androgenetic Alopecia,Androgenetic Alopecia,indicator_140,outcome_363,[],NA
374,NCT04898166,Covid-19 Disease Outcomes Correlating With Severity of Androgenetic Alopecia and Age in Males,O1:43|O2:177,O1:4|O2:11|O1:10|O2:27|O1:6|O2:14|O1:6|O2:9|O1:5|O2:8|O1:3|O2:10|O1:1|O2:3|O1:2|O2:14|O1:2|O2:8|O1:0|O2:7|O1:1|O2:32|O1:3|O2:34,43 Hospitalised Male Participants Diagnosed Case of COVID-19 With HNS <3.|177 Hospitalised Male Participants Diagnosed Case of COVID-19 With HNS >3-7,Androgenetic Alopecia,Androgenetic Alopecia,indicator_140,outcome_364,[],NA
375,NCT04898166,Hospital Disease Outcome in 300 Subjects. Having 220 Males and 80 Females,O1:220|O2:80,O1:41|O2:28|O1:72|O2:16|O1:30|O2:26|O1:77|O2:10,220 Hospitalized Participants Diagnosed Case of COVID-19.|80 Hospitalized Female Participants Diagnosed Case of Hospitalized COVID-19,Hospitalization,Hospitalization,indicator_18,outcome_365,['Hospital'],NA
376,NCT04898166,"Comorbidities Including Diabetes Mellitus, Smoking, Hypertension, Ischemic Heart Disease, Chronic Kidney Disease, Obesity in Participants",O1:300,O1:29|O1:6|O1:4|O1:12|O1:15|O1:8|O1:5|O1:9|O1:20|O1:6|O1:1|O1:15|O1:8|O1:6|O1:4|O1:9|O1:17|O1:1|O1:2|O1:7|O1:10|O1:6|O1:1|O1:12|O1:26|O1:1|O1:9|O1:18|O1:18|O1:1|O1:5|O1:9,300 Participants Diagnosed Case of Hospitalized COVID-19 Outcome in Relation to Comorbidities,Comorbidities,Comorbidities,indicator_142,outcome_366,[],NA
377,NCT04898166,Disease Duration of COVID-19,O1:300,O1:11.79,300 Participants Diagnosed Case of Hospitalized COVID-19 Disease Duration,Disease Duration,Disease Duration,indicator_143,outcome_367,[],NA
378,NCT04475588,One-month Mortality Rate Between the Two Arms,O1:20|O2:10,O1:0|O2:3,Arm A - Itolizumab + BSC|Arm B - Best Supportive Care (BSC),Mortality,Death ,indicator_16,outcome_368,"['Mortality Rate', 'Mortality']","Time Frame: Days 4, 7, 14 and 21 "
379,NCT04475588,Lung Function Assessment - Proportion of the Patients With Stable or Improved SpO2 Without Increasing FiO2,O1:20|O2:10,O1:17|O2:5|O1:19|O2:7|O1:20|O2:7|O1:20|O2:7,Arm A - Itolizumab + BSC|Arm B - Best Supportive Care (BSC),SpO2,SpO2,indicator_17,outcome_369,"['SpO2', 'Improved', 'Lung Function Assessment - Proportion']",Time Frame: Days 1 - 29 
380,NCT04475588,Endo-tracheal Intubation/Invasive Mechanical Ventilation (IMV),O1:20|O2:10,O1:0|O2:2,Arm A - Itolizumab + BSC|Arm B - Best Supportive Care (BSC),Endo-tracheal Intubation/Invasive Mechanical Ventilation (IMV) ,IMV,indicator_144,outcome_370,"['mechanical Ventilation', 'Mechanical Ventilation', 'Invasive Mechanical Ventilation', 'Endo-tracheal Intubation/Invasive Mechanical Ventilation (IMV)']",Time Frame: Day 1 through Day 29 
381,NCT04475588,Reduction in Proportion of Patients on Non-invasive Ventilation,O1:20|O2:10,O1:5|O2:4|O1:0|O2:0|O1:5|O2:1|O1:5|O2:1|O1:5|O2:1,Arm A - Itolizumab + BSC|Arm B - Best Supportive Care (BSC),Reduction in Proportion of Patients on Non-invasive Ventilation ,Reduction in Proportion of Patients on Non-invasive Ventilation ,indicator_145,outcome_371,['Reduction in Proportion of Patients on Non-invasive Ventilation'],Time Frame: Baseline to Day 29 
382,NCT04475588,Lung Function Assessment - Proportion of Patients With Stable PaO2 Without Increasing FiO2,O1:20|O2:10,O1:18|O2:6|O1:19|O2:7|O1:20|O2:7|O1:20|O2:7,Arm A - Itolizumab + BSC|Arm B - Best Supportive Care (BSC),Lung Function Assessment - Proportion,Lung Function Assessment - Proportion,indicator_146,outcome_372,['Lung Function Assessment - Proportion'],"Time Frame: Baseline, Day 15, Day 29 "
383,NCT04475588,Reduction in Proportion of Patients- Invasive Mechanical Ventilation,O1:0|O2:0,NA,Arm A - Itolizumab + BSC|Arm B - Best Supportive Care (BSC),Invasive Mechanical Ventilation ,Mechanical Ventilation,indicator_9,outcome_373,"['mechanical Ventilation', 'Mechanical Ventilation', 'Invasive Mechanical Ventilation']",Time Frame: Up to 28 days 
384,NCT04475588,Reduction in Proportion of Patients-High Flow Nasal Oxygen,O1:0|O2:0,NA,Arm A - Itolizumab + BSC|Arm B - Best Supportive Care (BSC),High Flow Nasal Oxygen ,High Flow Nasal Oxygen ,indicator_147,outcome_374,"['Oxygen', 'High Flow Nasal Oxygen']",Time Frame: Day 1 through Day 29 
385,NCT04475588,Mean Change From Baseline in Ferritin,O1:20|O2:10|O1:18|O2:7|O1:15|O2:5|O1:11|O2:3|O1:3|O2:2,O1:-117.8|O2:-87.05|O1:-713.9|O2:-209.6|O1:-780.9|O2:4238|O1:-479.3|O2:-234.4,Arm A - Itolizumab + BSC|Arm B - Best Supportive Care (BSC)|Arm A - Itolizumab + BSC|Arm B - Best Supportive Care (BSC)|Arm A - Itolizumab + BSC|Arm B - Best Supportive Care (BSC)|Arm A - Itolizumab + BSC|Arm B - Best Supportive Care (BSC)|Arm A - Itolizumab + BSC|Arm B - Best Supportive Care (BSC),Ferritin,Ferritin,indicator_50,outcome_375,"['Mean Change', 'Ferritin']","Time Frame: Days 1, 3, 5, 8, 11, 15 and 29 "
386,NCT04475588,Mean Change From Baseline in LDH,O1:20|O2:10|O1:18|O2:7|O1:15|O2:5|O1:11|O2:3|O1:3|O2:2,O1:-134|O2:-44.29|O1:-195.8|O2:-195.2|O1:-308.1|O2:155.3|O1:-212.7|O2:-97,Arm A - Itolizumab + BSC|Arm B - Best Supportive Care (BSC)|Arm A - Itolizumab + BSC|Arm B - Best Supportive Care (BSC)|Arm A - Itolizumab + BSC|Arm B - Best Supportive Care (BSC)|Arm A - Itolizumab + BSC|Arm B - Best Supportive Care (BSC)|Arm A - Itolizumab + BSC|Arm B - Best Supportive Care (BSC),LDH,LDH,indicator_89,outcome_376,"['LDH', 'Mean Change']",Time Frame: Day 11 
387,NCT04475588,Mean Change From Baseline in CRP (C-reactive Protein),O1:20|O2:10|O1:18|O2:8|O1:16|O2:5|O1:11|O2:3|O1:3|O2:2,O1:-61.69|O2:-103.6|O1:-81.65|O2:-107.2|O1:-90.99|O2:-127.5|O1:-103.2|O2:-127.6,Arm A - Itolizumab + BSC|Arm B - Best Supportive Care (BSC)|Arm A - Itolizumab + BSC|Arm B - Best Supportive Care (BSC)|Arm A - Itolizumab + BSC|Arm B - Best Supportive Care (BSC)|Arm A - Itolizumab + BSC|Arm B - Best Supportive Care (BSC)|Arm A - Itolizumab + BSC|Arm B - Best Supportive Care (BSC),CRP (C-reactive Protein),CRP,indicator_1,outcome_377,"['C-reactive Protein', 'CRP (C-reactive Protein)', 'Mean Change']","Time Frame: Days 1, 3, 5, 8, 11, 15 and 29 "
388,NCT04475588,Mean Change From Baseline D-Dimer,O1:20|O2:10|O1:18|O2:7|O1:12|O2:4|O1:11|O2:2|O1:3|O2:2,O1:-1.43|O2:2.30|O1:-0.45|O2:-0.68|O1:-4.35|O2:8.54|O1:-2.63|O2:-0.35,Arm A - Itolizumab + BSC|Arm B - Best Supportive Care (BSC)|Arm A - Itolizumab + BSC|Arm B - Best Supportive Care (BSC)|Arm A - Itolizumab + BSC|Arm B - Best Supportive Care (BSC)|Arm A - Itolizumab + BSC|Arm B - Best Supportive Care (BSC)|Arm A - Itolizumab + BSC|Arm B - Best Supportive Care (BSC),D-dimer,D-dimer,indicator_51,outcome_378,"['D-dimer', 'Mean Change']","Time Frame: Days 1, 3, 5, 8, 11, 15 and 29 "
389,NCT04475588,Mean Change From Baseline of Absolute Lymphocyte Count,O1:20|O2:10|O1:20|O2:8|O1:16|O2:5|O1:11|O2:3|O1:4|O2:2,O1:119.95|O2:45.88|O1:421.25|O2:142.60|O1:701.55|O2:10.00|O1:719.75|O2:85.00,Arm A - Itolizumab + BSC|Arm B - Best Supportive Care (BSC)|Arm A - Itolizumab + BSC|Arm B - Best Supportive Care (BSC)|Arm A - Itolizumab + BSC|Arm B - Best Supportive Care (BSC)|Arm A - Itolizumab + BSC|Arm B - Best Supportive Care (BSC)|Arm A - Itolizumab + BSC|Arm B - Best Supportive Care (BSC),Lymphocyte Count,Lymphocyte Count,indicator_19,outcome_379,"['Mean Change', 'Lymphocyte Count']","Time Frame: Baseline, Day 15, Day 29 "
390,NCT04475588,"Biomarkers (IL-6, TNF-a)",O1:18|O2:10|O1:18|O2:10|O1:18|O2:10|O1:13|O2:4|O1:13|O2:4|O1:18|O2:10|O1:18|O2:10|O1:13|O2:4|O1:13|O2:4,O1:159.09|O2:162.16|O1:42.98|O2:211.52|O1:311.3|O2:310.4|O1:91.0|O2:316.8|O1:43.64|O2:11.26|O1:8.87|O2:39.19|O1:68.0|O2:107.8|O1:50.1|O2:185.0,Arm A - Itolizumab + BSC|Arm B - Best Supportive Care (BSC)|Arm A - Itolizumab + BSC|Arm B - Best Supportive Care (BSC)|Arm A - Itolizumab + BSC|Arm B - Best Supportive Care (BSC)|Arm A - Itolizumab + BSC|Arm B - Best Supportive Care (BSC)|Arm A - Itolizumab + BSC|Arm B - Best Supportive Care (BSC)|Arm A - Itolizumab + BSC|Arm B - Best Supportive Care (BSC)|Arm A - Itolizumab + BSC|Arm B - Best Supportive Care (BSC)|Arm A - Itolizumab + BSC|Arm B - Best Supportive Care (BSC)|Arm A - Itolizumab + BSC|Arm B - Best Supportive Care (BSC),TNF,TNF,indicator_5,outcome_380,"['TNF', 'IL-6']",Time Frame: Pre-SSI to 3-month follow-up 
391,NCT04475588,"Mean PaO2 (Partial Pressure of Oxygen) / FiO2 (Fraction of Inspired Oxygen, FiO2) Ratio (or P/F Ratio)",O1:20|O2:10|O1:20|O2:10|O1:16|O2:6|O1:14|O2:5|O1:8|O2:3|O1:3|O2:0,O1:126.57|O2:114.05|O1:203.50|O2:184.53|O1:283.43|O2:338.40|O1:350.25|O2:398.33|O1:397.67,Arm A - Itolizumab + BSC|Arm B - Best Supportive Care (BSC)|Arm A - Itolizumab + BSC|Arm B - Best Supportive Care (BSC)|Arm A - Itolizumab + BSC|Arm B - Best Supportive Care (BSC)|Arm A - Itolizumab + BSC|Arm B - Best Supportive Care (BSC)|Arm A - Itolizumab + BSC|Arm B - Best Supportive Care (BSC)|Arm A - Itolizumab + BSC|Arm B - Best Supportive Care (BSC),P/F Ratio,P/F Ratio,indicator_47,outcome_381,"['Oxygen', 'P/F Ratio']",Time Frame: 28 days after randomization 
392,NCT04475588,Number and Percentage of Patients With Radiological Response,O1:20|O2:10,O1:9|O2:1,Arm A - Itolizumab + BSC|Arm B - Best Supportive Care (BSC),Radiological Response ,Radiological Response ,indicator_148,outcome_382,['Radiological Response'],Time Frame: 24 hours after the last 2000 U dose of the chronic phase 
393,NCT04343261,Mortality,O1:41,O1:19,COVID-19 Patients Treated With Convalescent Plasma,Mortality,Death ,indicator_16,outcome_383,['Mortality'],"Time Frame: Baseline and on days 4, 7, 14 and 21 "
394,NCT04343261,Viral Load,O1:35|O1:13|O1:9|O1:7|O1:4,O1:3524|O1:2033|O1:315|O1:494,COVID-19 Patients Treated With Convalescent Plasma|COVID-19 Patients Treated With Convalescent Plasma|COVID-19 Patients Treated With Convalescent Plasma|COVID-19 Patients Treated With Convalescent Plasma|COVID-19 Patients Treated With Convalescent Plasma,Viral Load ,Viral Load,indicator_95,outcome_384,['Viral Load'],Time Frame: Pre-SSI only 
395,NCT04343261,Serum Antibody Titers,O1:39|O1:39|O1:36|O1:30|O1:24,O1:18.5|O1:37.2|O1:47.4|O1:55.2,COVID-19 Patients Treated With Convalescent Plasma|COVID-19 Patients Treated With Convalescent Plasma|COVID-19 Patients Treated With Convalescent Plasma|COVID-19 Patients Treated With Convalescent Plasma|COVID-19 Patients Treated With Convalescent Plasma,Serum Antibody Titers ,Antibody Titers,indicator_149,outcome_385,['Serum Antibody Titers'],Time Frame: Baseline up to 60 days 
396,NCT04446429,COVID-19 Hospitalization,O1:134|O2:134,O1:35|O2:3,Usual Care|Proxalutamide + Usual Care,Hospitalization,Hospitalization,indicator_18,outcome_386,"['Hospitalization', 'hospitalization', 'Hospital']",Time Frame: Day 1 through Day 15 
397,NCT04446429,NA,NA,NA,NA,nan,nan,indicator_104,outcome_387,['nan'],NA
398,NCT04332991,COVID Outcomes Scale Score on Study Day 15 (14 Days After Randomization),O1:242|O2:237,O1:6|O2:6,Hydroxychloroquine|Placebo,scale score,scale score,indicator_150,outcome_388,"['outcomes scale', 'scale score']",Time Frame: Baseline to Day 29 
399,NCT04332991,COVID Ordinal Outcomes Scale on Study Day 3 (2 Days After Randomization),O1:242|O2:237,O1:4|O2:4,Hydroxychloroquine|Placebo,outcomes scale,outcomes scale,indicator_151,outcome_389,['outcomes scale'],Time Frame: assessed on study day 29 
400,NCT04332991,COVID Ordinal Outcomes Scale on Study Day 8 (7 Days After Randomization),O1:242|O2:237,O1:5|O2:6,Hydroxychloroquine|Placebo,outcomes scale,outcomes scale,indicator_151,outcome_390,['outcomes scale'],Time Frame: assessed on study day 15 
401,NCT04332991,COVID Ordinal Outcomes Scale on Study Day 29 (28 Days After Randomization),O1:242|O2:237,O1:6|O2:6,Hydroxychloroquine|Placebo,outcomes scale,outcomes scale,indicator_151,outcome_391,['outcomes scale'],Time Frame: assessed on study day 29 
402,NCT04332991,"All-location, All-cause Mortality Assessed on Study Day 15 (14 Days After Randomization)",O1:241|O2:236,O1:18|O2:14,Hydroxychloroquine|Placebo,Mortality,Death ,indicator_16,outcome_392,['Mortality'],Time Frame: 7 days post treatment 
403,NCT04332991,"All-location, All-cause Mortality Assessed on Study Day 29 (28 Days After Randomization)",O1:241|O2:236,O1:25|O2:25,Hydroxychloroquine|Placebo,Mortality,Death ,indicator_16,outcome_393,['Mortality'],Time Frame: Up to and including day 28 
404,NCT04332991,Number of Patients Dead or With Receipt of ECMO Between Enrollment and Day 28,O1:241|O2:236,O1:29|O2:28,Hydroxychloroquine|Placebo,ECMO,ECMO,indicator_77,outcome_394,['ECMO'],Time Frame: Day 1 through Day 15 
405,NCT04332991,Oxygen-free Days Through Day 28,O1:242|O2:237,O1:21|O2:20,Hydroxychloroquine|Placebo,Oxygen-free,Oxygen,indicator_8,outcome_395,"['Oxygen', 'Oxygen-free']",Time Frame: 28 days after randomization 
406,NCT04332991,Ventilator-free Days Through Day 28,O1:242|O2:237,O1:28|O2:28,Hydroxychloroquine|Placebo,Ventilator-free,Ventilator-free,indicator_90,outcome_396,['Ventilator-free'],Time Frame: Pre-SSI only 
407,NCT04332991,Vasopressor-free Days Through Day 28,O1:242|O2:237,O1:28|O2:28,Hydroxychloroquine|Placebo,Vasopressor-free,Vasopressor-free,indicator_152,outcome_397,['Vasopressor-free'],Time Frame: Pre-SSI only 
